,Unnamed: 0,count(time),time
1285,1285,144,8:29:00 AM
1286,1286,126,8:29:00 PM
1287,1287,214,8:30:00 AM
1288,1288,134,8:30:00 PM
1289,1289,127,8:31:00 AM
1290,1290,105,8:31:00 PM
1291,1291,147,8:32:00 AM
1292,1292,106,8:32:00 PM
1293,1293,132,8:33:00 AM
1294,1294,137,8:33:00 PM
1295,1295,156,8:34:00 AM
1296,1296,126,8:34:00 PM
1297,1297,1,8:34:42 PM
1298,1298,169,8:35:00 AM
1299,1299,121,8:35:00 PM
1300,1300,1,8:35:28 PM
1301,1301,153,8:36:00 AM
1302,1302,110,8:36:00 PM
1303,1303,142,8:37:00 AM
1304,1304,128,8:37:00 PM
1305,1305,151,8:38:00 AM
1306,1306,154,8:38:00 PM
1307,1307,1,8:38:51 PM
1308,1308,121,8:39:00 AM
1309,1309,114,8:39:00 PM
1310,1310,143,8:40:00 AM
1311,1311,107,8:40:00 PM
1312,1312,183,8:41:00 AM
1313,1313,128,8:41:00 PM
1314,1314,172,8:42:00 AM
1315,1315,133,8:42:00 PM
1316,1316,137,8:43:00 AM
1317,1317,133,8:43:00 PM
1318,1318,149,8:44:00 AM
1319,1319,127,8:44:00 PM
1320,1320,283,8:45:00 AM
1321,1321,132,8:45:00 PM
1322,1322,156,8:46:00 AM
1323,1323,124,8:46:00 PM
1324,1324,149,8:47:00 AM
1325,1325,136,8:47:00 PM
1326,1326,160,8:48:00 AM
1327,1327,139,8:48:00 PM
1328,1328,172,8:49:00 AM
1329,1329,135,8:49:00 PM
1330,1330,144,8:50:00 AM
1331,1331,146,8:50:00 PM
1332,1332,110,8:51:00 AM
1333,1333,140,8:51:00 PM
1334,1334,135,8:52:00 AM
1335,1335,122,8:52:00 PM
1336,1336,151,8:53:00 AM
1337,1337,127,8:53:00 PM
1338,1338,149,8:54:00 AM
1339,1339,122,8:54:00 PM
1340,1340,150,8:55:00 AM
1341,1341,133,8:55:00 PM
1342,1342,132,8:56:00 AM
1343,1343,132,8:56:00 PM
1344,1344,134,8:57:00 AM
1345,1345,130,8:57:00 PM
1346,1346,117,8:58:00 AM
1347,1347,121,8:58:00 PM
1348,1348,116,8:59:00 AM
1349,1349,136,8:59:00 PM
1350,1350,278,9:00:00 AM
1351,1351,120,9:00:00 PM
1352,1352,126,9:01:00 AM
1353,1353,141,9:01:00 PM
1354,1354,84,9:02:00 AM
1355,1355,129,9:02:00 PM
1356,1356,127,9:03:00 AM
1357,1357,150,9:03:00 PM
1358,1358,119,9:04:00 AM
1359,1359,155,9:04:00 PM
1360,1360,110,9:05:00 AM
1361,1361,129,9:05:00 PM
1362,1362,128,9:06:00 AM
1363,1363,120,9:06:00 PM
1364,1364,1,9:06:59 AM
1365,1365,104,9:07:00 AM
1366,1366,134,9:07:00 PM
1367,1367,97,9:08:00 AM
1368,1368,134,9:08:00 PM
1369,1369,115,9:09:00 AM
1370,1370,148,9:09:00 PM
1371,1371,109,9:10:00 AM
1372,1372,119,9:10:00 PM
1373,1373,103,9:11:00 AM
1374,1374,133,9:11:00 PM
1375,1375,118,9:12:00 AM
1376,1376,147,9:12:00 PM
1377,1377,127,9:13:00 AM
1378,1378,123,9:13:00 PM
1379,1379,118,9:14:00 AM
1380,1380,140,9:14:00 PM
1381,1381,223,9:15:00 AM
1382,1382,139,9:15:00 PM
1383,1383,118,9:16:00 AM
1384,1384,122,9:16:00 PM
1385,1385,107,9:17:00 AM
1386,1386,140,9:17:00 PM
1387,1387,108,9:18:00 AM
1388,1388,136,9:18:00 PM
1389,1389,124,9:19:00 AM
1390,1390,128,9:19:00 PM
1391,1391,113,9:20:00 AM
1392,1392,125,9:20:00 PM
1393,1393,106,9:21:00 AM
1394,1394,144,9:21:00 PM
1395,1395,118,9:22:00 AM
1396,1396,136,9:22:00 PM
1397,1397,122,9:23:00 AM
1398,1398,141,9:23:00 PM
1399,1399,117,9:24:00 AM
1400,1400,135,9:24:00 PM
1401,1401,149,9:25:00 AM
1402,1402,137,9:25:00 PM
1403,1403,101,9:26:00 AM
1404,1404,127,9:26:00 PM
1405,1405,121,9:27:00 AM
1406,1406,132,9:27:00 PM
1407,1407,117,9:28:00 AM
1408,1408,129,9:28:00 PM
1409,1409,129,9:29:00 AM
1410,1410,112,9:29:00 PM
1411,1411,188,9:30:00 AM
1412,1412,132,9:30:00 PM
1413,1413,134,9:31:00 AM
1414,1414,124,9:31:00 PM
1415,1415,98,9:32:00 AM
1416,1416,156,9:32:00 PM
1417,1417,108,9:33:00 AM
1418,1418,140,9:33:00 PM
1419,1419,116,9:34:00 AM
1420,1420,131,9:34:00 PM
1421,1421,117,9:35:00 AM
1422,1422,116,9:35:00 PM
1423,1423,110,9:36:00 AM
1424,1424,141,9:36:00 PM
1425,1425,117,9:37:00 AM
1426,1426,134,9:37:00 PM
1427,1427,108,9:38:00 AM
1428,1428,143,9:38:00 PM
1429,1429,161,9:39:00 AM
1430,1430,151,9:39:00 PM
1431,1431,132,9:40:00 AM
1432,1432,127,9:40:00 PM
1433,1433,138,9:41:00 AM
1434,1434,140,9:41:00 PM
1435,1435,142,9:42:00 AM
1436,1436,147,9:42:00 PM
1437,1437,142,9:43:00 AM
1438,1438,136,9:43:00 PM
1439,1439,147,9:44:00 AM
1440,1440,173,9:44:00 PM
1441,1441,285,9:45:00 AM
1442,1442,128,9:45:00 PM
1443,1443,142,9:46:00 AM
1444,1444,119,9:46:00 PM
1445,1445,124,9:47:00 AM
1446,1446,125,9:47:00 PM
1447,1447,1,9:47:58 PM
1448,1448,112,9:48:00 AM
1449,1449,142,9:48:00 PM
1450,1450,124,9:49:00 AM
1451,1451,126,9:49:00 PM
1452,1452,112,9:50:00 AM
1453,1453,130,9:50:00 PM
1454,1454,121,9:51:00 AM
1455,1455,138,9:51:00 PM
1456,1456,133,9:52:00 AM
1457,1457,137,9:52:00 PM
1458,1458,141,9:53:00 AM
1459,1459,131,9:53:00 PM
1460,1460,141,9:54:00 AM
1461,1461,127,9:54:00 PM
1462,1462,124,9:55:00 AM
1463,1463,137,9:55:00 PM
1464,1464,144,9:56:00 AM
1465,1465,146,9:56:00 PM
1466,1466,101,9:57:00 AM
1467,1467,128,9:57:00 PM
1468,1468,101,9:58:00 AM
1469,1469,136,9:58:00 PM
1470,1470,107,9:59:00 AM
1471,1471,138,9:59:00 PM

